Citation,Parent Statute,Document Description,File,Entity Empowered,Triggering Event,Describe Health Emergency,State Trigger,Location,Military Involvement (Federal),Document Type,Preliminary Screening,Source,Chapter,Date Originally Published (from File),Date Last Updated (from File),PDF (from File),Note,url (from File),Funding Stream?,Funding Stream Description,Waiver Authority,"Regulations: Relevant Chapter, Section or Article",Scenarios Matrix,Plans & Strategies
42 U.S.C. § 17903,Health Information Technology - Study and Reports,Requires HHS to submit annually a report that describes the actions taken by the USFG and private entities to facilitate the adoption of a nationwide system for the electronic use and exchange of health information; describes barriers to adoption of such a system; and contains recommendations to achieve full implementation of this system. ,42 U.S.C. 17903,Department of Health and Human Services,No triggering event - Capacity Building,,Not applicable,Domestic,No,Legislation,Include,PNNL,,2/17/2009,2/17/2009,USCODE-2022-title42-chap156-subchapI-sec17903.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/zrqRP3S2fIcpMA1jwxORPw/W1ghDIevtEBm6W55-2Bxcl-6FgTc9CXv7YUr6JsiJb8iVwU_TVr7vsvyRziumgD5R532-Sg8kMl-EPBsMrlbq4j7ybWt_t6sUVmqnABRaURnDtHnxYRCIXt_rOOYSXgP3-pjVelSrA-mUwKGGt0GQl3dkbqdgFid9oKJZGYODWYhsSkF0_QTv-6YcC5btd0kxKuRLLWbl0_OR1EoKuf_MA/jk3Tes30owue05y_Aj4rGGVXj-mdfg7qRyx0rVH_AmU),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap156-subchapI-sec17903.pdf,Yes,Appropriates funds for the creation and maintenance of an annual report on this system/process.,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. § 2552,,"Allows the Secretary of a military department to lend equipment under the jurisdiction of that department, which can temporarily be spared, to any organization formed by the American National Red Cross that needs it for instruction and practice for the purpose of aiding the Army, Navy, or Air Force in a time of war.",10 USC 2552,Department of Defense,No triggering event - Capacity Building,Part of war preparedness,Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,8/10/1956,10/30/2000,USCODE-2023-title10-subtitleA-partIV-chap152-sec2552.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/w36wg6XNhNhPlEcvg3l5WA/PejsmGBrrTtuFJ-1Liw_vJvEiwnl6m_Cpj8WMqG3l6u97kz7xs8PDC0jFjMQ1rLldFDRQ6xLplk1Yw2jxcIYpiXoGOw0UdtOptdzZq6imUUaBm6sG9FP5JG-GQh7uUTGwkwZ17sZGAnMQP9tKt4EyO4X1k3W6i_v80nvh7SoMa-2KcP0OLui9Z-gyjodhsbIcyDjrJ-ohz1WZl8y69q_gQ/5WTm5F1T1FTyQH4k-ZqBrvxkvVaxYZ51OQDVCoomLxU),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleA-partIV-chap152-sec2552.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. § 2557(a)(1) ,,Allows the Secretary of Defense to make available for humanitarian relief purposes and domestic emergency assistance any nonlethal excess supplies of the DoD. Additionally allows distribution of excess supplies to homeless veterans.  Transfers supplies to the Secretary of Homeland Security but allows DoD to help distribute supplies at request of DHS,10 USC 2557 ,"Department of Homeland Security,Department of Defense","Natural Disaster,Health Emergency,Potential Public Health Emergency","Supplies may be used ""to support domestic emergency assistance activities."" However, these activities are not defined. ",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,11/8/1985,12/19/2014,USCODE-2023-title10-subtitleA-partIV-chap152-sec2557.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/XNwRNU5d52oaEn7n6JyChw/0ZwukIVWLq_tnq9gfs-Ezx0dJnxdcT9hHG3Boa6s_cYLHtGrQt_XZ6vbA6kvxqa0jWvCMevw1w3n3d9KcFdQtnE3NHnfeYZKUzEGiz7K9qFX779oXS4b2z8iblPV10pcA9L4BTe-ZjOaGFvcJGzg5mjedoGbPlqG16sn7bFERn3dgCYTfSoq7Y2jbiCfJpHSxULUouuY7d2IJOiHyM-Ypg/3TpiRwB8qg-fCmzXuNmRQIbTbwoagCi_g8LwC75nu5A),"Unsure of whether this would include scenario 1? technically, it could. But it seems like it would be more likely given a scenario 2-3 situation
",https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleA-partIV-chap152-sec2557.pdf,No,,No,,"Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
10 U.S.C. § 2561 ,,"Allows the Department of Defense to use appropriations for humanitarian assistance to transport supplies for humanitarian purpose; in addition, (b) allows for these supplies to be used to mitigate the effects of an event or condition like an oil spill that ""threatens serious harm to the environment"" if other sources to transport goods are not readily available. The Secretary may require reimbursement for these services. ",10 USC 2561,Department of Defense,Natural Disaster,"Non-humanitarian relief requires an event or condition like an oil spill that ""threatens serious harm to the environment"" ",Not applicable,Both,Yes - Subject to Posse Comitatus,Legislation,Include,PNNL,,10/23/1992,12/23/2022,USCODE-2023-title10-subtitleA-partIV-chap152-sec2561.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/ZL_gOPQPY9qFny5Ux9d6fg/bXKnjDaRoIZb34KEan4WPEkbAmEhmodPA-wE3Mrh_QnKtx5Hs-UaYX__s29inlLE9yo6IuX70WpyEIxmk4HoHuG846aHeX-6YBG-lhAxTpCaWin67sBMILcqb00Ffgqo0yUMc8ZggTxwZR4jCA10J_mxCaqnzHY-cbxWmzG_SBuVPotoeVqSN99Q5AC3hrkNMY_lM4dUs7ZAFyZz1DzUTg/zOcc_SJXHTjUaz4Of71YS7hAnE2kjjQhkYC1P4nkPG8),,https://www.govinfo.gov/content/pkg/USCODE-2023-title10/pdf/USCODE-2023-title10-subtitleA-partIV-chap152-sec2561.pdf,Yes,Allows appropriations to be used to clean up environmental disasters in certain circumstances,No,,Scenario 3d,
42 U.S.C. § 11001,,"Requires governors to create emergency response commissions, with people who have technical expertise in the emergency management field. These people are to create emergency planning districts and plan responses to potential health crises. Where emergency planning involves more than one state, there may be multi jurisdictional planning organizations.",42 U.S.C. 11001,State Governments/Governors,No triggering event - Capacity Building,Part of emergency preparedness,Not applicable,Domestic,No,Legislation,Include,PNNL,,10/17/1986,10/17/1986,USCODE-2022-title42-chap116-subchapI-sec11001.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/wj05VUpcGtch0P3hZg6dag/OR_Upqlq0ErOBNydA1CQ_2oDCdZY-o3B-7A6QwuRiAqFZLXDM7Ttps2ErPHAriYyVBLvZSlTS3-gZQcrLfJYR5_iJ0ERGlMN77X3nQ-UAeTfp5Sne_yX-8DMh2yaiEKRez4aJzlgxFQyhPzyVXjbpGTrGAuwNa8lwj7yMmqcxvekYIEKQQJ_ouziu8nj2gAp74yJeBNRiwolAKDUZ1rAGg/Up8KK4sl9jzHbAQmuf2PSZLNXofdjeGNYKH-OkZSyek),,https://www.govinfo.gov/content/pkg/USCODE-2022-title42/pdf/USCODE-2022-title42-chap116-subchapI-sec11001.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
7 U.S.C. § 8901; 8912,,"Requires the establishment of an agricultural biosecurity communication center to collect and disseminate information and prepare for agricultural disease emergencies, agroterrorist attacks, or other threats to agricultural biosecurity, as well as to coordinate activities within DHS regarding the above.",Agricultural biosecurity statute ,Department of Homeland Security,No triggering event - Capacity Building,Part of emergency preparedness,Not applicable,Domestic,No,Legislation,Include,PNNL,,5/22/2008,12/20/2018,"USCODE-2023-title7-chap114-sec8901.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/DGiNVYsqhw4EXAAdwtnbhQ/uMo17tGnsFSgPeaTN2q9IGc7uJEkd8xSCkvMf2sNV-la_LIVpPABK8wWeaxB6FlnwaJ7zo1gjSP9j6s5D-2fNpvdG98E8M1XoHxjkI7pYdBxn8B6Af8F7cWdK4Y7QEtmgUT0Aw4ziUMYyuwVQJXojPy6HaCg2E_jKydZX7PAh4vs-N0B2SgOOqImOWZrinrJ/A6d6wvmm57P2omPGl3N0wP7ryGdddoq6ArUaUegNaJ8),USCODE-2023-title7-chap114-subchapI-sec8912.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/n-mNhbNn3RRVDawfRtdPgQ/sqWaNWVXjEopKQt5Y0136ALegtnS2aETXsJLY-Dc5KeQqSzet7c0b1wHNJN1t1NL2pGPd5aP9ht5l81IDml3GYZ6mzbRdczuDv725KObNRjslFVc_TINtNpkD7tJE84y8cir0SIqT8jHFIU0FDrbIfgdhiuEL7gzp8-2g2p8TjX12lq8HaY1KzbcgB3nA5V6a92E_bsfKDzNPw46XGjipw/YPkWmrwvL4ZCrC6GYbLY5nkf27IOdKScn_APxMwN5pI)",,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap114-subchapI-sec8912.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
18 U.S.C. § 2332a,,"Defines a ""weapon of mass destruction"" and makes it a crime to attempt or conspire to use a WMD in a number of circumstances against the U.S., within the U.S., or as a U.S. national. Defines WMD as any destructive device; any weapon that is designed or intended to cause death or serious bodily injury through the release, dissemination, or impact of toxic or poisonous chemicals or their precursors, a biological agent, toxin or vector, or a weapon designed to release radiation at a level dangerous to human life. ",19 U.S.C. 2332a,"Department of Justice,Department of Justice - Federal Bureau of Investigation","Terrorism,Act of War","Requires attempt, conspiracy, or use of a WMD.",Not applicable,Both,No,Legislation,Include,PNNL,,9/13/1994,12/17/2004,USCODE-2023-title18-partI-chap113B-sec2332a.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/Bkx3-N2TvIA3mDgrbiIVbQ/OAB2ZCKq7d4NDfJeaGoxIEKp3DPUQl2hbGdVhSHUeYkOJL6UQBRCk0cZ_Szh20sKrfhMaJeM01pks0rxWov88bvL3lIlpvIWZRe2dW9Llk6-jtlyPlgUkXEJ2ddDh-L77K-S5ZivWbw_K5wZVKU-b_cFJfMhlfAtaCXCiq5u_im6Tgm3KmZw21IqQDloV1s5druCJUHsS_mHoYImxqA05w/8bB9NZAazFq5J_SRlRD9Q85sRAVLvnJklw3q9Cxz_1U),,https://www.govinfo.gov/content/pkg/USCODE-2023-title18/pdf/USCODE-2023-title18-partI-chap113B-sec2332a.pdf,No,,No,,"Scenario 3b,Scenario 3c",
7 U.S.C. § 8401,,Requires Secretary of Agriculture to maintain a list of biological agents and toxins that pose a severe threat to animal or plant health and/or products. Also stipulates that Secretary shall by regulation shall provide for safety procedures for transferring these agents; proper training for dealing with these agents; and proper laboratory facilities to contain them. The Secretary will also establish and enforce safety measures to prevent such toxins from being used in international terrorism or for criminal purposes. The Secretary will also establish procedures to protect animal and plant health in the event of a transfer in violation of these safety procedures. There will be a registry of people who have access to these agents. ,7 USC 8401,Department of Agriculture,No triggering event - Capacity Building,Part of emergency preparedness,Not applicable,Domestic,No,Legislation,Include,PNNL,,6/12/2002,12/20/2018,USCODE-2023-title7-chap110-subchapI-sec8401.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/ofyE-bbXjoK-n1mWYX5ozw/0WqzMHaoOAPjEvfORpWkjcMkZQF2OYe2FyAtJD008VQXZjfADHlhdBZjdBUVxnQPT6mbWs-Yk7ASa4MGfQURB8Nz3DsDr0C_hb6q_GuKoNGXsOr7c4rgnQymvLmoBTduQyDqWS6iCzRozcQP8ZbhlaedqpPDO5pCviqTRD5dZEe2k3ykVx_3zGg9FVms9egayc1GuG2EdlgEluYwMgFGuw/nbkkcgzSqB0w1i2uUvnuDKMc1PbL0K2ZcP_etf6E_zk),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap110-subchapI-sec8401.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
7 U.S.C. §§ 8351–8353,,"The Secretary of Agriculture may conduct a program of wildlife services with respect to injurious animal species, including actions to control the spread of zoonotic diseases. The Secretary is authorized to make such expenditures as necessary to execute these functions. ",7 USC 8351-8353,Department of Agriculture,No triggering event - Capacity Building,Part of emergency preparedness,Not applicable,Domestic,No,Legislation,Include,PNNL,,3/2/1931,10/23/2018,"USCODE-2023-title7-chap109A-sec8351.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/Yo6qDljR_7MlOmiwSK28bg/PvtI1OKYimCnMShmnsqr6MPNiwrKzS3I-DViuG_g7bvR59nYj2DrLYFqssoq_D7fTYqcTOcBTKoRh7V_mUYnuKyDgf_puKgYujKwB3bnxZQSuXOWr5koc2gubqeXTQ2BE3IdOiT4BZcLxtRB2XIIasAH03QIFLapjQVT_5JX-hVNC9gxRO1vq7FjWS5u7GVN/-g7iMdc-C0jE8MgDbjG5_lp8LIBv7UtQ6R52rNNC418),USCODE-2023-title7-chap109A-sec8352.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/CZamuZm7Djj5AWwuYdMoAQ/UgKEZSx-bq-q1BtjDnuEC6M9x81IfWJIDy0Fe19_YHesUN-tpSxYfQ9Mky-hPp8g4gEeqiqvx9BorDS6Q2pxW5vFd18_53Bq25UuOU81QGY_tWphTdy0GzAe--d9O1lM6wgk3ZZ38Wv1UrMeYRJc4hvfUeu7PHT0LjSmtrBFWVgSorpqwCX6jvaPifZ0O4DT/gsTmHPb7-xnb_-n4tgTTNhu60nN9IgXafMgAsg8Et_w),USCODE-2023-title7-chap109A-sec8353.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/eOXEc6rgCYj4KGhDRJwEXQ/6n_S-lbeMBxQyK8Z8JzhPGNcwBp6cJp_kVs-HOUEX5nEiL_R-tmVSOt9svRdl6Olx_vtCKuQiGbRjCfPsLTBQ60ZfUVgfTr9zuaVtMd6vt-8pjYiDU85n61t45S-VBCSRpVVpUsMzZOHSlXUOn5fMDhJ4PIIvgKG6qCKoiG2R8ndSEO0Y1ytSNUfTAlTlUqL/KeLNrRkDXkbmkOCR9xQnNWKPVlTPDfL3iZ3hF9liZlo)",,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109A-sec8351.pdf,Yes,Appropriates funding for controlling zoonotic diseases and the animals that might carry them,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
7 U.S.C. § 8303,,Authorizes Secretary of Agriculture with notice to Secretary of Treasury and public notice to restrict the importation or entry of any animal that the Secretary deems necessary to prevent the introduction of any pest or disease of livestock; to prevent the movement of any animal determined as such; or to restrict the use of any such animal if the Secretary determines that such a restriction is necessary because the means of conveyance has not been maintained in a clean or sanitary condition/does not have accommodations for the safe and proper movement of livestock. Allows the Secretary of Agriculture to promulgate regulations with respect to the above. Creates authority for orders to disinfect to owners of livestock. ,7 USC 8303 ,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction of any pest or disease of livestock. ,Not applicable,Both,No,Legislation,Include,PNNL,,5/13/2002,5/13/2002,USCODE-2023-title7-chap109-sec8303.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/wOPMPXtCVh7aTaowTgTaug/ZVCstZxL2jqB2swrXReCil8u1VYJlasIj21pZmVsv1VksZW2HC58MhMC6N42eOht1ciiuj6SrxemdZPqhbukwaLYblEYr3PMOwluAQoI8l1dj9krA-9r7Q1UL5dl_slLWBwQAkLSRzJO07pDuvp1hHKqhE-IqxGm_-m0n_k0B67zJ_uIL8m778FbqsNxvTHQ/qsrp5QQrxFT_Dx4HYcFWRNFlIuWlqPjyy4LB0Q-Ydkw),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8303.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
7 U.S.C. § 8304,,"Authorizes Secretary of Agriculture to prevent the exportation of livestock if: (1) necessary to prevent dissemination from or within the United States of any pest or disease of livestock; (2) if the livestock is unfit to be moved; (3) if the method of conveyance is unsafe, risky, or has not been maintained in a clean or sanitary condition. Provides for orders to disinfect.",7 USC 8304,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,Not applicable,Both,No,Legislation,Include,PNNL,,5/13/2002,2/7/2014,USCODE-2023-title7-chap109-sec8304.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/qsbb_1GVtpOvnsdm6rpa9A/gYi9vHwW9Y9_H2qzFSygAJ01EN5Kuf1MFXDQ0rIdBlZN_4EctfUlUYUfb28xd5ImY2KDaVUnYAjt-6Z0gD_Xw-LHGXOqNJx9XJkLDkwaIkGyK5o0GoVqmGZvPHu5jPyGyniG6W0JU1lv4_y3pRTS5Qyx4RDzNAB6t9h09dfNe-agMnqEkrLDaSx-YrMy_npq/SykDq7eOrVtErbk3DrFNiGacAX5QrzyhAWg9zaFjQzU),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8304.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
7 U.S.C. § 8305,,"Authorizes Secretary of Agriculture to prohibit or restrict the movement in interstate commerce of any animal, article, or means of conveyance, if deemed necessary to prevent the introduction or dissemination of any pest or disease of livestock; and any conveyance in connection with moving animals deemed necessary to do the above.",7 U.S.C. 8305,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,Not applicable,Domestic,No,Legislation,Include,PNNL,,5/13/2002,5/13/2002,USCODE-2023-title7-chap109-sec8304.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/cwiQykMZvl4qucwlEMODIA/4GcHBU9XxyIuCQH43gxo0WQ9eDGIIZLXLr5jT7uMg24pEr-8P7TrUu3nhw_bQdQ8Hb3N9oEukBHQNWuFZdgjHMIZ9E4sA_0rU35NKAzkBa2g0khWOzVHHAcfPhhkRekVVO-i6su4sK9Lw83Ue_hQ58sGkQUoUHk4wPk_BiTxSdwdAuUt9ZFJutJMD-O6Xich/cAeCD4ronhAw3Dgv_9WAPQYNViNAmzqpu_KlWi7lJaU),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8304.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
7 U.S.C. § 8306,,"Authorizes Secretary of Agriculture to ""hold, seize, quarantine, treat, destroy, dispose of, or take other remedial action"" with respect to any animal that may pose a threat of disseminating or infecting livestock with a pest. The Secretary may also seize, hold, treat, apply other remedial actions, to, destroy, or otherwise dispose of any facility, article, or means of conveyance necessary to prevent the dissemination of disease. If owners fail to comply with orders, Secretary may take enhanced remedial actions. ",7 USC 8306,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,Not applicable,Domestic,No,Legislation,Include,PNNL,,5/13/2002,6/18/2008,USCODE-2023-title7-chap109-sec8306.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/KF4OVAKbmBYB0QmFZOlENw/d653GyMeydovDmiEC_0eT4xr65yC13X8gpyUTg2bwPDQcwyYRuux65JoeXqFhHwJIojhE8fQfi8npgZiWJcXTPbF-OPvJ8eg_ba-VDniSJegDc7e83qYSnUzlEhpgfvMkBBwFf3B5298zg6b8HgdqEjqh0VFzt6Zjgvp8O74hVBSlODrY52s5P-oa5OFACxR/3Ru_CHQ56ank4FPoxEonB5eZ0JTyel2f_hGIAQ5RWGA),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8306.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
7 U.S.C. § 8308,,"Authorizes Secretary of Agriculture to carry out operations and measures to ""detect, control, or eradicate"" any pest or disease of livestock, including drawing blood and diagnostic testing, at any point of concentration.",7 U.S.C. 8308,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,Not applicable,Domestic,No,Legislation,Include,PNNL,,5/13/2002,6/18/2008,USCODE-2023-title7-chap109-sec8308.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/pFFspEP4GVeqjIPsGRG7Fw/y3GwzMdkz8oHZjkoMGye2up-LXoNNqOqJzGG3PxRnlZjGRj-TaJdMaeNntK5Q7hyXSx6AkVRlfZ-WBAdRAO9dAFf4Y8ULLt3epRDsWPuPFG2yiXlGXOAXTUTeLkRsZ5mdp7qWbqjWhnm3C99QniHW8vPZNLYdJtGWA_uCxsUJC6vybjDsfsMal2B4x5cUXvW/_iun0Ql4CmfRAY6doKLQ9WfeYZLsN7f11GgI7qs3KWk),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8308.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
7 U.S.C. § 8310,,"Authorizes Secretary of Agriculture to cooperate with other federal agencies, States, political subdivisions of states, national, state, or local governments of foreign countries, Indian tribes, domestic or international organizations/associations to carry out livestock disease prevention functions. Additionally, the Secretary of Agriculture may produce and sell sterile screwworms to any foreign country, international government or association if the livestock industry will not be adversely affected by the production and sale. ",7 U.S.C. 8310,Department of Agriculture,Potential Public Health Emergency,Must be deemed necessary to prevent the introduction or export of any pest or disease of livestock. ,Not applicable,Both,No,Legislation,Include,PNNL,,5/13/2002,5/13/2002,USCODE-2023-title7-chap109-sec8310.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/H3UtGFG7KNDTrruxGlkeBA/bqCOp2XM4PAsyevky4xzPKxXX4CJigZy_gxaChEjoXeQCLcebA_wmS0R4bjo1Z_5Hl1OGZF85PD4IDoVUrepCren992wPdXGjgC-Pn6dMFOJDxkCPmkWhmeAxVzFB-6EAvtAl31cQMixKU7k2V-sdZgAEsot1GwsAq-PdDIoEAMxCY8c6ACnZL1NFTs-6ky7/bvKTt7KieaTOPTal0-EmHvE3K68ee_ra4MrkY5LkKqo),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8310.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
7 U.S.C. § 8315,,"Authorizes Secretary of Agriculture to promulgate ""such regulations... as the Secretary deems necessary to carry out this chapter."" ",7 U.S.C. 8315,Department of Agriculture,No triggering event - Capacity Building,N/A,Not applicable,Both,No,Legislation,Include,PNNL,,5/13/2002,5/13/2002,USCODE-2023-title7-chap109-sec8315.pdf (https://v5.airtableusercontent.com/v3/u/32/32/1725602400000/4jUlmJz6406ln7dSS34hUw/5SNr8W_225ZuIlKB4aMlea4yshnrqVolfbUaDhxynL9HNm9Z8VqldE8dcMpRgx64yGeH-T7mWyje9KcCI236ootnsa1MzQlQmHHuyrZCC7J2Wml-403NTsc_n5l_d5u92mgtPxb-D5q-NmggQ9ZWaXKHw_7-48S-jKE_zjdOZ2u4lBwH-d2t-mCwr54lKvqH/MjieeQSa81VKkb7aY9ytj9NJDPdTX5U45s99lZnDzXQ),,https://www.govinfo.gov/content/pkg/USCODE-2023-title7/pdf/USCODE-2023-title7-chap109-sec8315.pdf,No,,No,,"Scenario 1,Scenario 2,Scenario 3a,Scenario 3b,Scenario 3c,Scenario 3d",
